caso;EI;T0_an;T0_mef;dT0_%;var_T0_trechos_%;TA_an;TA_mef;TB_an;TB_mef;corte_an;corte_mef;baixo_an;baixo_mef;rms_m;dmax_m;compressao
cap3_L35;15.7;815.92;815.74;-0.02;0.00;925.32;925.10;1368.91;1368.74;;;"(9.67;7.36)";"(9.67;7.36)";0.0020;0.0051;False
cap3_L32;15.7;2399.12;2394.89;-0.18;0.00;2402.05;2397.76;2841.54;2837.26;;;"(0.00;10.00)";"(0.00;10.00)";0.0027;0.0038;False
hib1_base;15.7;154.77;154.68;-0.06;0.00;236.56;236.49;265.80;265.60;"(26.36;5.48)";"(26.36;5.48)";"(15.53;1.54)";"(15.54;1.53)";0.0091;0.0179;False
hib2_valid;15.7;123.29;123.14;-0.12;0.00;320.88;320.71;320.88;320.71;"(20.00;-10.11)";"(20.00;-10.11)";"(20.00;-10.11)";"(20.00;-10.11)";0.0074;0.0156;False
hib3_peso;15.7;1357.21;1357.31;+0.01;0.00;2200.82;2200.69;1969.70;1966.60;"(25.71;6.01)";"(25.72;6.01)";"(14.68;1.27)";"(14.68;1.27)";0.0084;0.0190;False
hib4_compr;15.7;73.97;73.98;+0.02;0.02;492.59;492.16;554.82;554.11;"(38.61;10.10)";"(38.59;10.10)";"(19.30;-33.10)";"(19.29;-33.12)";0.0126;0.0225;False
forca1_base;15.7;273.60;273.49;-0.04;0.00;369.14;368.80;369.14;368.80;"(15.00;1.31)";"(15.00;1.35)";"(15.00;1.31)";"(15.00;1.35)";0.0175;0.0437;False
forca2_P0;15.7;181.32;181.23;-0.05;0.00;205.63;205.52;304.20;304.14;;;"(9.67;7.36)";"(9.66;7.36)";0.0050;0.0117;False
forca4_mu1;15.7;492.27;492.73;+0.09;0.00;512.56;509.81;740.24;740.70;"(17.30;8.00)";"(17.28;8.03)";"(14.29;7.91)";"(14.24;7.88)";0.0231;0.0439;False
forca4_mu5;15.7;1782.39;1781.49;-0.05;0.00;1807.73;1795.00;2528.87;2527.41;"(17.37;7.89)";"(17.36;7.90)";"(17.37;7.89)";"(16.92;7.89)";0.0211;0.0394;False
forca4_mu10;15.7;3400.21;3397.48;-0.08;0.00;3436.62;3417.01;4770.91;4767.37;"(17.37;7.89)";"(17.37;7.89)";"(17.37;7.89)";"(17.37;7.89)";0.0162;0.0314;False
forca4_mu20;15.7;6637.12;6629.80;-0.11;0.00;6696.96;6667.64;9256.59;9248.52;"(17.37;7.89)";"(17.37;7.88)";"(17.37;7.89)";"(17.37;7.88)";0.0122;0.0247;False
